Time	CellId	RNTI	BWPId	SINR(dB)
0.413929	1	1	0	10.3975
0.413929	2	1	0	36.5145
0.414929	1	1	0	10.3975
0.414929	2	1	0	36.5145
0.415929	1	1	0	10.3975
0.415929	2	1	0	36.5145
0.416929	1	1	0	10.3975
0.416929	2	1	0	36.5145
0.417929	1	1	0	10.3975
0.417929	2	1	0	36.5145
0.418929	1	1	0	10.3975
0.418929	2	1	0	36.5145
0.419929	1	1	0	10.3975
0.419929	2	1	0	36.5145
0.420929	1	1	0	10.3975
0.420929	2	1	0	36.5145
0.421929	1	1	0	10.3975
0.421929	2	1	0	36.5145
0.422929	1	1	0	10.3975
0.422929	2	1	0	36.5145
0.423929	1	1	0	10.3975
0.423929	2	1	0	36.5145
