time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.406029	1	1	4	1030	0.00602677
0.409029	1	1	4	1030	0.00898677
0.410029	1	1	4	1030	0.00994677
0.411029	1	1	4	1030	0.0109068
0.413029	1	1	4	1030	0.0128668
0.414029	1	1	4	1030	0.0138268
0.415029	1	1	4	1030	0.0147868
0.416029	1	1	4	1030	0.0157468
0.418029	1	1	4	1030	0.0177068
0.419029	1	1	4	1030	0.0186668
0.420029	1	1	4	1030	0.0196268
0.421029	1	1	4	1030	0.0205868
0.423029	1	1	4	1030	0.0225468
0.424029	1	1	4	1030	0.0235068
0.425029	1	1	4	1030	0.0244668
0.426029	1	1	4	1030	0.0254268
0.428029	1	1	4	1030	0.0273868
0.429029	1	1	4	1030	0.0283468
0.430029	1	1	4	1030	0.0293068
0.431029	1	1	4	1030	0.0302668
0.433029	1	1	4	1030	0.0322268
0.434029	1	1	4	1030	0.0331868
0.435029	1	1	4	1030	0.0341468
0.436029	1	1	4	1030	0.0351068
0.438029	1	1	4	1030	0.0370668
0.439029	1	1	4	1030	0.0380268
0.440029	1	1	4	1030	0.0389868
0.441029	1	1	4	1030	0.0399468
0.443029	1	1	4	1030	0.0419068
0.444029	1	1	4	1030	0.0428668
0.445029	1	1	4	1030	0.0438268
0.446029	1	1	4	1030	0.0447868
0.448029	1	1	4	1030	0.0467468
0.449029	1	1	4	1030	0.0477068
0.450029	1	1	4	1030	0.0486668
0.451029	1	1	4	1030	0.0496268
0.452029	1	1	4	1030	0.0505868
0.454029	1	1	4	1030	0.0525468
0.455029	1	1	4	1030	0.0535068
0.456029	1	1	4	1030	0.0544668
0.457029	1	1	4	1030	0.0554268
0.458957	1	1	4	1030	0.0573153
0.460029	1	1	4	1030	0.0583468
0.461029	1	1	4	1030	0.0593068
0.462029	1	1	4	1030	0.0602668
0.464029	1	1	4	1030	0.0622268
0.465029	1	1	4	1030	0.0631868
0.466029	1	1	4	1030	0.0641468
0.467029	1	1	4	1030	0.0651068
0.469029	1	1	4	1030	0.0670668
0.470029	1	1	4	1030	0.0680268
0.471029	1	1	4	1030	0.0689868
0.472029	1	1	4	1030	0.0699468
0.474029	1	1	4	1030	0.0719068
0.475029	1	1	4	1030	0.0728668
0.476029	1	1	4	1030	0.0738268
0.477029	1	1	4	1030	0.0747868
0.479029	1	1	4	1030	0.0767468
0.480029	1	1	4	1030	0.0777068
0.481029	1	1	4	1030	0.0786668
0.482029	1	1	4	1030	0.0796268
0.484029	1	1	4	1030	0.0815868
0.485029	1	1	4	1030	0.0825468
0.486029	1	1	4	1030	0.0835068
