time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.409029	1	2	5	16	0.00295714
0.410029	1	2	5	16	0.00295714
0.411029	1	2	5	16	0.00295714
0.412029	1	2	5	16	0.00295714
0.413029	1	2	5	16	0.00295714
0.414029	1	2	5	62	0.00295714
0.508029	1	2	5	111	0.00295714
0.514029	1	2	5	23	0.00295714
0.608029	1	2	5	111	0.00295714
0.614029	1	2	5	23	0.00295714
0.708029	1	2	5	111	0.00295714
0.714029	1	2	5	23	0.00295714
0.808029	1	2	5	111	0.00295714
0.814029	1	2	5	23	0.00295714
0.908029	1	2	5	111	0.00295714
0.914029	1	2	5	23	0.00295714
1.00803	1	2	5	111	0.00295714
1.01403	1	2	5	23	0.00295714
1.10803	1	2	5	111	0.00295714
1.11403	1	2	5	23	0.00295714
1.20803	1	2	5	111	0.00295714
1.21403	1	2	5	23	0.00295714
1.30803	1	2	5	111	0.00295714
1.31403	1	2	5	23	0.00295714
1.40803	1	2	5	111	0.00295714
1.41403	1	2	5	23	0.00295714
1.50803	1	2	5	111	0.00295714
1.51403	1	2	5	23	0.00295714
1.60803	1	2	5	111	0.00295714
1.61403	1	2	5	23	0.00295714
1.70803	1	2	5	111	0.00295714
1.71403	1	2	5	23	0.00295714
1.81303	1	2	5	111	0.00795714
1.81896	1	2	5	23	0.00288571
1.90803	1	2	5	111	0.00295714
1.91403	1	2	5	23	0.00295714
