time(s)	cellId	rnti	lcid	packetSize
0.406071	1	2	5	16
0.407071	1	2	5	16
0.408071	1	2	5	16
0.409071	1	2	5	16
0.410071	1	2	5	16
0.411071	1	2	5	62
0.505071	1	2	5	111
0.511071	1	2	5	23
0.605071	1	2	5	111
0.611071	1	2	5	23
0.705071	1	2	5	111
0.711071	1	2	5	23
0.805071	1	2	5	111
0.811071	1	2	5	23
0.905071	1	2	5	111
0.911071	1	2	5	23
1.00507	1	2	5	111
1.01107	1	2	5	23
1.10507	1	2	5	111
1.11107	1	2	5	23
1.20507	1	2	5	111
1.21107	1	2	5	23
1.30507	1	2	5	111
1.31107	1	2	5	23
1.40507	1	2	5	111
1.41107	1	2	5	23
1.50507	1	2	5	111
1.51107	1	2	5	23
1.60507	1	2	5	111
1.61107	1	2	5	23
1.70507	1	2	5	111
1.71107	1	2	5	23
1.80507	1	2	5	111
1.81607	1	2	5	23
1.90507	1	2	5	111
1.91107	1	2	5	23
